Name,URL,Cuisine,Ingredients,key_ingredients
Amish Baked Oatmeal,https://www.allrecipes.com/recipe/276024/amish-baked-oatmeal/,Amish and Mennonite,3 cups quickcooking oats 1 cup packed brown sugar 1 cup milk ½ cup vegetable oil 2  eggs beaten 2 teaspoons baking powder 1 teaspoon salt 1 teaspoon ground cinnamon,"['eggs', 'milk', 'sugar']"
Rollkuchen (Mennonite Fritters),https://www.allrecipes.com/recipe/143075/rollkuchen-mennonite-fritters/,Amish and Mennonite,3  eggs 1 ½ cups allpurpose flour 1 teaspoon salt 2 cups canola oil for frying,"['eggs', 'flour']"
Amish Friendship Cake,https://www.allrecipes.com/recipe/7831/amish-friendship-cake/,Amish and Mennonite,2 cups allpurpose flour 1 cup sourdough starter 1 cup white sugar ⅔ cup vegetable oil 3 large eggs 1 ½ teaspoons baking powder 2 teaspoons vanilla extract ¼ teaspoon salt 1 cup chopped walnuts ¼ teaspoon baking soda,"['eggs', 'flour', 'sugar']"
Amish Tomato Pie,https://www.allrecipes.com/recipe/281218/amish-tomato-pie/,Amish and Mennonite,1 9 inch deepdish pie pastry 2 pounds heirloom tomatoes 1 pound Roma tomatoes 1 cup diced raw bacon ½ cup sliced leek 2 cups grated white Cheddar cheese ½ cup grated Fontina cheese ½ cup mayonnaise ½ cup fresh basil torn into small pieces 1 large egg 1 tablespoon Dijon mustard   salt and ground black pepper to taste,"['tomato', 'cheese']"
Amish Salisbury Steak,https://www.allrecipes.com/recipe/231336/amish-poor-mans-steak/,Amish and Mennonite,1 pound ground beef 1 cup milk 1 cup crushed saltine crackers 1  onion finely chopped 1 teaspoon salt 1 teaspoon ground black pepper 1 105 ounce can cream of mushroom soup,"['onion', 'beef', 'milk']"
Wet-Bottom Shoofly Pie,https://www.allrecipes.com/recipe/20324/wet-bottom-shoofly-pie/,Amish and Mennonite,1 ½ cups allpurpose flour ½ cup brown sugar 2 tablespoons shortening 1 teaspoon baking soda 1 cup boiling water ½ cup dark corn syrup ½ cup molasses ¼ teaspoon salt 1  egg 1 9 inch unbaked pie crust,"['corn', 'flour', 'sugar']"
Our Most Traditional Amish and Mennonite Recipes,https://www.allrecipes.com/gallery/traditional-amish-mennonite-recipes/,Amish and Mennonite,,[]
Amish Friendship Banana Nut Bread,https://www.allrecipes.com/recipe/142527/amish-friendship-banana-nut-bread/,Amish and Mennonite,½ cup shortening 4 large ripe bananas 2 cups Amish Friendship Bread Starter see footnote for recipe link 3 large eggs 1 cup white sugar 1 cup chopped walnuts ½ cup milk 2 cups allpurpose flour 1 ½ teaspoons baking powder ½ teaspoon baking soda ½ teaspoon salt,"['banana', 'eggs', 'milk', 'flour', 'sugar']"
Easy Pork and Sauerkraut,https://www.allrecipes.com/recipe/24537/easy-pork-and-sauerkraut/,Amish and Mennonite,1 32 ounce jar sauerkraut with juice 1 pound pork roast cut into 1 inch cubes ½ 12 fluid ounce can or bottle beer 1 tablespoon minced garlic 1 teaspoon onion salt 1 teaspoon dry mustard 1 ½ teaspoons fresh dill weed ½ medium apple peeled and cored,"['garlic', 'onion', 'apple', 'pork']"
Amish Cinnamon Bread,https://www.allrecipes.com/recipe/7064/amish-cinnamon-bread/,Amish and Mennonite,  1 cup Amish Friendship Bread Starter 1 cup vegetable oil 1 cup white sugar 4  eggs 2 teaspoons vanilla extract 2 teaspoons baking soda 1 teaspoon baking powder 1 3 ounce package instant vanilla pudding mix 2 cups allpurpose flour 2 teaspoons ground cinnamon 1 cup chopped pecans 1 cup peeled cored and chopped apple 1 cup raisins,"['apple', 'eggs', 'flour', 'sugar']"
Amish Apple Dumplings,https://www.allrecipes.com/recipe/278339/amish-apple-dumplings/,Amish and Mennonite,  cooking spray 6 medium baking apples peeled and cored 2 cups allpurpose flour 2 ½ teaspoons baking powder ½ teaspoon salt ⅔ cup shortening ½ cup milk 3 cups brown sugar divided 1 teaspoon ground cinnamon 2 cups water ¼ cup butter ¼ teaspoon ground nutmeg,"['apple', 'milk', 'butter', 'flour', 'sugar']"
Yellow Pickled Eggs,https://www.allrecipes.com/recipe/70505/yellow-pickled-eggs/,Amish and Mennonite,12  eggs 1 medium onion thinly sliced ¾ cup water 1 cup white sugar 1 ¼ cups white vinegar 2 teaspoons salt 1 teaspoon dried dill weed ¼ teaspoon garlic powder ½ teaspoon mustard seed,"['garlic', 'onion', 'eggs', 'sugar']"
Amish Hash Browns,https://www.allrecipes.com/recipe/148834/amish-hash-browns/,Amish and Mennonite,½ cup flour ⅓ cup yellow cornmeal 2 teaspoons salt 1 teaspoon baking powder 5 cups peeled and shredded potatoes ⅓ cup vegetable oil 2  eggs 1  onion minced ¼ cup vegetable oil,"['onion', 'potato', 'corn', 'eggs', 'flour']"
Kimberly's Curried Deviled Eggs,https://www.allrecipes.com/recipe/214054/kimberlys-curried-deviled-eggs/,Amish and Mennonite,6  eggs ¼ cup mayonnaise 1 tablespoon stoneground mustard or to taste 1 teaspoon curry powder ½ teaspoon dried parsley 1 tablespoon sweet pickle relish ¼ teaspoon ground black pepper 1 pinch paprika for garnish,['eggs']
Amish Buttermilk Biscuits,https://www.allrecipes.com/recipe/283317/amish-buttermilk-biscuits/,Amish and Mennonite,2 cups flour plus more for dusting 1 tablespoon baking powder 1 teaspoon baking soda ½ teaspoon salt ½ teaspoon white sugar ⅓ cup cold butter cubed 1 cup buttermilk,"['milk', 'butter', 'flour', 'sugar']"
Lower Fat Amish Macaroni Salad,https://www.allrecipes.com/recipe/222215/lower-fat-amish-macaroni-salad/,Amish and Mennonite,1 12 ounce package elbow macaroni 4  hardcooked eggs chopped 3 stalks celery minced 1 6 ounce package frozen peas thawed 2 cups low fat mayonnaise such as Hellmanns® Low Fat 3 tablespoons prepared yellow mustard ¼ cup white sugar 2 teaspoons white vinegar ¾ teaspoon celery seed ½ teaspoon salt,"['celery', 'peas', 'eggs', 'sugar']"
Amish Friendship Chocolate Bread,https://www.allrecipes.com/recipe/24573/amish-friendship-chocolate-bread/,Amish and Mennonite,2 cups allpurpose flour 1 cup white sugar 1 ½ teaspoons baking powder ½ teaspoon baking soda 1 teaspoon salt 1 59 ounce package instant chocolate pudding mix   1 cup Amish Friendship Bread Starter 1 cup vegetable oil ½ cup milk 3  eggs 1 teaspoon vanilla extract,"['eggs', 'milk', 'flour', 'sugar', 'chocolate']"
Amish Yumazuti,https://www.allrecipes.com/recipe/48477/amish-yumazuti/,Amish and Mennonite,1 pound ground beef 1  onion chopped ¾ cup chopped celery 1 tablespoon minced garlic ¼ cup shredded Cheddar cheese 1 145 ounce can stewed diced tomatoes 1 12 ounce package uncooked egg noodles 1 1075 ounce can condensed cream of chicken soup,"['celery', 'garlic', 'onion', 'tomato', 'chicken', 'beef', 'cheese']"
7 Ways to Use Your Amish Friendship Bread Starter,https://www.allrecipes.com/gallery/amish-friendship-bread-recipes/,Amish and Mennonite,,[]
Lemon Poppy Seed Amish Friendship Bread,https://www.allrecipes.com/recipe/7201/lemon-poppy-seed-amish-friendship-bread/,Amish and Mennonite,2 cups allpurpose flour 1 cup white sugar 1 ½ teaspoons baking powder ½ teaspoon baking soda ½ teaspoon salt ½ teaspoon ground cinnamon ⅛ cup poppy seeds 2 3 ounce packages instant lemon pudding mix   1 cup Amish Friendship Bread Starter 2  eggs ½ cup milk ½ cup applesauce 2 teaspoons vanilla extract ½ cup vegetable oil,"['apple', 'eggs', 'milk', 'flour', 'sugar']"
Pumpkin Custard Pie I,https://www.allrecipes.com/recipe/15239/pumpkin-custard-pie-i/,Amish and Mennonite,1 9 inch pie shell 1 cup pumpkin puree 3  eggs 1 tablespoon allpurpose flour ¼ cup packed light brown sugar ½ cup white sugar ½ teaspoon salt ⅓ teaspoon ground nutmeg ½ teaspoon ground cinnamon 2 cups milk,"['eggs', 'milk', 'flour', 'sugar']"
Amish Country Casserole,https://www.allrecipes.com/recipe/283461/amish-country-casserole/,Amish and Mennonite,1 pound lean ground beef 1 medium onion diced 1 medium green bell pepper diced 1 teaspoon salt ½ teaspoon black pepper 1 8 ounce package uncooked egg noodles 1 145 ounce can petite diced tomatoes 1 1075 ounce can condensed tomato soup undiluted 1 cup cottage cheese 1 cup sour cream 2 teaspoons Worcestershire sauce 1 cup shredded Cheddar cheese,"['onion', 'bell pepper', 'tomato', 'beef', 'cheese']"
Amish Potato Soup,https://www.allrecipes.com/recipe/278342/amish-potato-soup/,Amish and Mennonite,3 cups diced russet potatoes 1 ½ cups water ½ cup grated carrot ½ cup diced onion 1 tablespoon chicken base 1 pinch salt to taste 2 cups milk divided 1 cup sour cream 2 tablespoons allpurpose flour ½ pound cubed fully cooked ham 1 8 ounce package processed cheese food such as Velveeta® cubed 1 tablespoon dried parsley flakes,"['onion', 'carrot', 'potato', 'chicken', 'milk', 'cheese', 'flour']"
Amish Butter and Egg Dinner Rolls,https://www.allrecipes.com/recipe/283325/amish-butter-and-egg-dinner-rolls/,Amish and Mennonite,1 cup warm water 1 25 ounce package instant yeast ¼ cup white sugar 3 cups allpurpose flour or more as needed 4 tablespoons softened butter divided 1 large egg at room temperature 1 teaspoon salt   cooking spray,"['butter', 'flour', 'sugar']"
Amish Blackberry and Strawberry Baked Oatmeal,https://www.allrecipes.com/recipe/278335/amish-blackberry-and-strawberry-baked-oatmeal/,Amish and Mennonite,  cooking spray 1 cup brown sugar ⅔ cup vegetable oil 2  eggs 2 teaspoons baking powder 1 teaspoon salt 3 cups oatmeal 1 cup milk 1 21 ounce can blackberry pie filling such as Comstock® 2 cups fresh strawberries quartered,"['strawberries', 'eggs', 'milk', 'sugar']"
Sushi Party,https://www.allrecipes.com/recipe/234351/sushi-party/,Amish and Mennonite,9 ¾ cups water 5 ½ cups Japanese sushistyle white rice 5 ½ tablespoons rice vinegar 5 ½ tablespoons white sugar 2 ¾ tablespoons kosher salt,"['rice', 'sugar']"
Milk Flitcher Pie,https://www.allrecipes.com/recipe/52356/milk-flitcher-pie/,Amish and Mennonite,1 9 inch unbaked pie shell 2 ½ tablespoons allpurpose flour ¾ cup white sugar 1 cup whole milk 1 cup dark molasses 2 tablespoons butter ¼ teaspoon ground cinnamon or to taste,"['milk', 'butter', 'flour', 'sugar']"
Simple Stovetop Amish Chicken,https://www.allrecipes.com/recipe/89281/simple-stovetop-amish-chicken/,Amish and Mennonite,1 2 pound roasting chicken 8 cups water or as needed 1 28 ounce can low fat low sodium chicken broth 3 large baking potatoes peeled 1 10 ounce package wide egg noodles 1 teaspoon saltfree seasoning blend   salt and pepper to taste,"['potato', 'chicken']"
13 Heartwarming Amish Breakfasts,https://www.allrecipes.com/gallery/amish-breakfasts/,Amish and Mennonite,,[]
Amish Chocolate Cake,https://www.allrecipes.com/recipe/284904/amish-chocolate-cake/,Amish and Mennonite,  cooking spray 2 cups allpurpose flour ⅓ cup unsweetened cocoa powder 2 teaspoons baking soda ½ teaspoon salt 1 ¼ cups brown sugar ½ cup unsalted butter softened 2 large eggs 1 cup buttermilk 1 teaspoon vanilla extract ½ cup hot water,"['eggs', 'milk', 'butter', 'flour', 'sugar']"
Healthier Amish Friendship Bread Starter,https://www.allrecipes.com/recipe/219434/healthier-amish-friendship-bread-starter/,Amish and Mennonite,1 25 ounce package active dry yeast ¼ cup warm water 110 degrees F45 degrees C 1 cup allpurpose flour 1 cup white sugar 1 cup lowfat milk 1 cup white whole wheat flour 1 cup white sugar 1 cup lowfat milk ½ cup allpurpose flour ½ cup whole wheat flour 1 cup white sugar 1 cup lowfat milk,"['milk', 'flour', 'sugar']"
Amish Buttermilk Pie,https://www.allrecipes.com/recipe/283612/amish-buttermilk-pie/,Amish and Mennonite,1 cup white sugar 1 medium lemon zested 2 tablespoons allpurpose flour 1 ¾ cups buttermilk ¼ cup lemon juice 2 large eggs beaten 2 tablespoons unsalted butter softened 1 teaspoon lemon extract 1 9 inch unbaked pie crust,"['eggs', 'milk', 'butter', 'flour', 'sugar']"
Red Pepper and Cabbage Pickle,https://www.allrecipes.com/recipe/256612/red-pepper-and-cabbage-pickle/,Amish and Mennonite,2 heads cabbage finely shredded 3 tablespoons salt 4 cups water 4 cups vinegar 1 ½ cups white sugar 1 cup vegetable oil 1 tablespoon ground turmeric 1 tablespoon celery seed 1 tablespoon mustard seeds 10  onions chopped 10  sweet red peppers chopped,"['cabbage', 'celery', 'onion', 'sugar']"
Moist Herman Coffee Cake,https://www.allrecipes.com/recipe/7963/moist-herman-coffee-cake/,Amish and Mennonite,1 cup sourdough starter 1 cup white sugar 2 cups selfrising flour ½ teaspoon salt 2 teaspoons ground cinnamon ⅔ cup vegetable oil 2  eggs 1 cup raisins or dates 1 cup chopped walnuts 1 tablespoon honey Optional 1 cup packed brown sugar 1 teaspoon allpurpose flour 1 teaspoon ground cinnamon ¼ cup chopped walnuts ½ cup butter 1 cup sifted confectioners sugar 2 tablespoons butter melted 2 tablespoons milk,"['eggs', 'milk', 'butter', 'flour', 'sugar']"
Amish Chocolate Pudding,https://www.allrecipes.com/recipe/278333/amish-chocolate-pudding/,Amish and Mennonite,2 cups milk or more as needed 2 cups white sugar ⅓ cup cocoa powder 4 tablespoons allpurpose flour 4  egg yolks 1 teaspoon vanilla extract,"['milk', 'flour', 'sugar']"
Gera's Amish Funny Cake,https://www.allrecipes.com/recipe/139695/geras-amish-funny-cake/,Amish and Mennonite,1 cup white sugar ½ cup cocoa powder ¾ cup hot water 1 teaspoon vanilla extract 2 9 inch unbaked pie crusts 2 cups allpurpose flour 2 teaspoons baking powder 1 cup white sugar ½ cup butter ¾ teaspoon vanilla extract 2  eggs 1 cup milk,"['eggs', 'milk', 'butter', 'flour', 'sugar']"
Quick Banana Nut Cake,https://www.allrecipes.com/recipe/232881/quick-banana-nut-cake/,Amish and Mennonite,1 cup white sugar ½ cup butter ¼ cup milk 2  eggs well beaten 1 teaspoon vanilla extract 2 cups allpurpose flour 2 teaspoons baking powder 1 teaspoon baking soda 1 teaspoon cream of tartar 1 pinch salt 1 cup mashed bananas ½ cup chopped walnuts,"['banana', 'eggs', 'milk', 'butter', 'flour', 'sugar']"
Cherry Amish Friendship Bread Cupcakes with Buttercream Frosting,https://www.allrecipes.com/recipe/218218/cherry-amish-friendship-bread-cupcakes-with-buttercream-frosting/,Amish and Mennonite,1 cup Amish Friendship Bread Starter see footnote for recipe link 3  eggs 1 cup vegetable oil ½ cup milk 1 cup white sugar ½ teaspoon vanilla extract 1 ½ teaspoons baking powder ½ teaspoon baking soda ½ teaspoon salt 2 cups allpurpose flour 1 3 ounce package cherry JellO® ½ cup vegetable shortening ½ cup butter softened 1 teaspoon vanilla extract 4 cups sifted confectioners sugar 2 tablespoons milk ½ cup white chocolate chips or as needed Optional,"['eggs', 'milk', 'butter', 'flour', 'sugar', 'chocolate']"
Keufels (Original),https://www.allrecipes.com/recipe/232696/keufels-original/,Amish and Mennonite,1 cup allpurpose flour 2 tablespoons allpurpose flour ½ cup margarine 3 ounces cream cheese softened 1 cup brown sugar ¾ cup chopped nuts 2 tablespoons melted butter 1  egg beaten 1 teaspoon vanilla extract ¼ teaspoon salt,"['cheese', 'butter', 'flour', 'sugar']"
Amish Brown Sugar Cake,https://www.allrecipes.com/recipe/278341/amish-brown-sugar-cake/,Amish and Mennonite,4 cups allpurpose flour 2 cups brown sugar 1 teaspoon baking powder 1 teaspoon baking soda 1 teaspoon salt ¾ cup vegetable oil 1 cup milk 1 tablespoon white sugar or as needed Optional 1 tablespoon ground cinnamon or as needed Optional,"['milk', 'flour', 'sugar']"
Amish Cran-Apple Pie,https://www.allrecipes.com/recipe/278336/amish-cran-apple-pie/,Amish and Mennonite,⅔ cup oil 3 tablespoons milk 2 cups allpurpose flour 2 teaspoons white sugar 1 ¼ teaspoons salt,"['milk', 'flour', 'sugar']"
Baked Oatmeal,https://www.allrecipes.com/recipe/51013/baked-oatmeal-ii/,Amish and Mennonite,3 cups rolled oats 1 cup brown sugar 2 teaspoons ground cinnamon 2 teaspoons baking powder 1 teaspoon salt 2  eggs 1 cup milk ½ cup melted butter 2 teaspoons vanilla extract ¾ cup dried cranberries,"['eggs', 'milk', 'butter', 'sugar']"
Amish White Bread,https://www.allrecipes.com/recipe/6788/amish-white-bread/,Amish and Mennonite,2 cups warm water 110 degrees F45 degrees C ⅔ cup white sugar 1 ½ tablespoons active dry yeast ¼ cup vegetable oil 1 ½ teaspoons salt 6 cups bread flour,"['flour', 'sugar']"
Cheesy Amish Breakfast Casserole,https://www.allrecipes.com/recipe/229150/cheesy-amish-breakfast-casserole/,Amish and Mennonite,1 pound sliced bacon diced 1 medium sweet onion chopped 9 large eggs lightly beaten 4 cups frozen shredded hash brown potatoes thawed 2 cups shredded Cheddar cheese 1 ½ cups small curd cottage cheese 1 ¼ cups shredded Swiss cheese,"['onion', 'potato', 'eggs', 'cheese']"
Easy Chimichurri,https://www.allrecipes.com/recipe/277888/easy-chimichurri/,Argentinian,1 cup tightly packed chopped parsley leaves 1 cup tightly packed chopped cilantro leaves ¼ cup red wine vinegar ½  onion coarsely chopped 5 cloves garlic 1 teaspoon coarse salt 1 teaspoon dried oregano 1 teaspoon hot pepper flakes 1 teaspoon freshly ground black pepper ½ cup extravirgin olive oil,"['cilantro', 'garlic', 'onion', 'hot pepper']"
Chimichurri Sauce,https://www.allrecipes.com/recipe/68003/chimichurri-sauce/,Argentinian,1 cup fresh parsley ¾ cup extra virgin olive oil 3 tablespoons red wine vinegar 2 tablespoons dried oregano 2 teaspoons ground cumin 1 ½ teaspoons minced garlic 1 ½ teaspoons pepper sauce such as Franks Red Hot® 1 teaspoon salt,['garlic']
Alfajores Argentinean Style,https://www.allrecipes.com/recipe/187786/alfajores-argentinean-style/,Argentinian,1 ⅔ cups unbleached allpurpose flour 2 ½ cups cornstarch ½ teaspoon baking soda 2 teaspoons baking powder 1 cup unsalted butter softened ¾ cup white sugar 3  egg yolks 1 teaspoon vanilla rum ½ teaspoon vanilla extract ½ teaspoon lemon extract 2 teaspoons lemon zest 1 115 ounce jar dulce de leche ½ cup unsweetened shredded coconut,"['corn', 'butter', 'flour', 'sugar']"
Authentic Empanada Pastry Dough,https://www.allrecipes.com/recipe/266134/authentic-empanada-pastry-dough/,Argentinian,2 cups allpurpose flour sifted ¼ cup unsalted butter chilled and cubed 1  egg 6 tablespoons warm water 1 teaspoon salt,"['butter', 'flour']"
What Is Dulce de Leche and How Do You Make It?,https://www.allrecipes.com/article/what-is-dulce-de-leche/,Argentinian,,[]
Chimichurri Roasted Potatoes,https://www.allrecipes.com/recipe/272605/chimichurri-roasted-potatoes/,Argentinian,2 pounds red potatoes cut into 1 12inch cubes 4 tablespoons olive oil divided   salt and ground black pepper to taste ½ bunch Italian parsley chopped ½ bunch fresh basil chopped 4 medium garlic cloves minced 2 tablespoons red wine vinegar,"['garlic', 'potato']"
Beef Empanadas,https://www.allrecipes.com/recipe/277867/beef-empanadas/,Argentinian,1 tablespoon extravirgin olive oil 1 pound yellow onions chopped 6  scallions chopped 1  green bell pepper chopped 2 pounds ground beef 2 tablespoons dried oregano 1 ½ tablespoons salt 1 tablespoon cayenne pepper 1 ½ teaspoons ground cumin 1 tablespoon butter or as needed 36  empanada pastry discs 1  egg white beaten,"['onion', 'bell pepper', 'beef', 'butter']"
Argentine Meat Empanadas,https://www.allrecipes.com/recipe/12512/argentine-meat-empanadas/,Argentinian,1 pound lean ground beef ½ cup shortening 2 medium onions chopped 2 teaspoons Hungarian sweet paprika ¾ teaspoon hot paprika ½ teaspoon crushed red pepper flakes   salt to taste 1 teaspoon ground cumin 1 tablespoon distilled white vinegar ¼ cup raisins 2 large hardcooked eggs chopped ½ cup pitted green olives chopped 1 175 ounce package frozen puff pastry sheets thawed 1 large egg beaten Optional,"['onion', 'olives', 'eggs', 'beef']"
Empanadas Salteñas,https://www.allrecipes.com/recipe/282433/empanadas-saltenas/,Argentinian,6 tablespoons water ½ teaspoon salt 2 cups allpurpose flour sifted ¼ cup margarine melted 1 teaspoon vegetable oil or as needed,['flour']
Chipas (Argentinean Cheese Bread),https://www.allrecipes.com/recipe/66504/chipas-argentinean-cheese-bread/,Argentinian,  cooking spray 1 large egg ⅔ cup milk 6 ounces shredded Italian cheese blend 3 tablespoons butter melted 1 ¾ cups tapioca starch 1 cup selfrising flour,"['milk', 'cheese', 'butter', 'flour']"
Rosemary Steak,https://www.allrecipes.com/recipe/50514/rosemary-steak/,Argentinian,1 cup red wine 1 teaspoon salt 1 sprig fresh rosemary 4  New York strip steaks cut 1inch thick,[]
Argentinean Potato Salad,https://www.allrecipes.com/recipe/45044/argentinean-potato-salad/,Argentinian,4  russet potatoes peeled and cubed 3 large eggs 1 10 ounce can mixed vegetables drained,"['potato', 'eggs']"
